Data of census 2001 of Pune Municipal Corporation Published by CENSUS OF INDIA ,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Area of town/ward in  -243.049.sq km,Column22,Column23
Name of Town/Ward,No of House Holds,Total Population (includin instituional) and Houseless Population,,,Scheduled Castes,,,Schedules Tribes,,,Literates,,,illiterates,,,Total Population in the age group (0-6),,,Ward office name,Ward Name in English,Ward Name in Marathi,
,,Population,Male,Female,Population,Male,Female,Population,Male,Female,Population,Male,Female,Population,Male,Female,Population,Male,Female,,,,
 Ward No.24,3578,16304,8517,7787,1686,856,830,356,184,172,13426,7283,6143,2878,1234,1644,1755,935,820,Hadapsar,Wanwadi Gaon,Hadapsar,वानवडी गांव.हडपसर,
 Ward No.25,4796,21087,10934,10153,1681,871,810,202,108,94,16843,9034,7809,4244,1900,2344,2485,1342,1143,Hadapsar,Mahadji Shinde Chatri,Hadapsar,महादजी शिंदे छत्री.हडपसर,
Ward No.26,6870,28953,14742,14211,3588,1798,1790,89,46,43,22109,11749,10360,6844,2993,3851,3386,1776,1610,Bibvewadi,Kondhava,Bibvewadi,कोढवा.बिबवेवाडी,
 Ward No.27,3502,16116,8113,8003,1465,727,738,193,99,94,13407,6953,6454,2709,1160,1549,1685,846,839,Bibvewadi,D.A.D Colony,kondhava,डी.ए.डी.कॉलनी.कोंढवा,
Ward No.28,4404,22212,11614,10598,5047,2587,2460,97,49,48,14212,8063,6149,8000,3551,4449,3233,1693,1540,Bibvewadi,Marketyard ,Bibvewadi,मार्केटयार्डे.बिबवेवाडी,
 Ward No.29,3533,15820,8217,7603,1191,588,603,100,58,42,11933,6486,5447,3887,1731,2156,1888,990,898,Bibvewadi,Bibvewadi Gavthan,बिबवेवाडी गावठांण,
Ward No.30,7849,36004,18849,17155,5480,2849,2631,305,148,157,26775,14975,11800,9229,3874,5355,4697,2486,2211,Bibvewadi,Vishwkarma Institute ,Bibvewadi,विश्वकर्मा इन्स्टिटयूड,
 Ward No.31,3969,17590,9439,8151,3158,1629,1529,148,76,72,12153,6991,5162,5437,2448,2989,2623,1364,1259,Bibvewadi,Katraj Udhyan,Bibvewadi,कात्रज उद्यान.बिबवेवाडी,
Ward No.32,3801,18172,9455,8717,1547,795,752,106,59,47,14030,7676,6354,4142,1779,2363,1986,1060,926,Bibvewadi,Shankar Maharaj Math,Bibvewadi,शंकर महाराज मठ्. बिबवेवाडी,
Ward No.33,2181,9858,5035,4823,184,99,85,33,18,15,8529,4402,4127,1329,633,696,847,455,392,Sahakarnagar,Padmavati Mandir,Sahakarnagar,पद्मावती मंदीर. सहकारनगर,
 Ward No.34,4127,19465,10120,9345,4670,2320,2350,265,125,140,14764,8151,6613,4701,1969,2732,2273,1220,1053,Sahakarnagar,ChavanNagar ,Dhankawadi,चव्हाणनगर. धनकवडी,
 Ward No.35,2553,12802,6696,6106,8075,4207,3868,30,13,17,8179,4794,3385,4623,1902,2721,1840,963,877,Sahakarnagar,Vi.S.Khandekar Vidhyala,Sahakarnagar,वि.स.खांडेकर विद्यालय,
 Ward No.36,3072,14924,7700,7224,2079,1043,1036,118,58,60,11886,6488,5398,3038,1212,1826,1381,700,681,Sahakarnagar,Parvati Industrial Estate ,Sahakarnagar,पर्वती इंडस्ट्रीयल इस्टेट.,
Ward No.37,3227,13759,6934,6825,709,374,335,66,32,34,12047,6160,5887,1712,774,938,1092,566,526,Sahakarnagar,Gandhi Training Collage,Sahakarnagar,गांधी ट्रेनिंग कॉलेज.,
 Ward No.38,2575,12785,6540,6245,1930,967,963,97,48,49,10279,5605,4674,2506,935,1571,1263,632,631,Sahakarnagar,Laxminagar,Parvati,लक्ष्मीनगर.पर्वती,
 Ward No.39,6461,26879,14498,12381,2953,1541,1412,342,179,163,17081,10290,6791,9798,4208,5590,4689,2453,2236,Sahakarnagar,Jantavasahat,Parvati,जनता वसाहत. पर्वती,
Ward No.40,3279,15495,7959,7536,6477,3266,3211,161,83,78,9716,5537,4179,5779,2422,3357,2127,1101,1026,Tilakroad,Parvati Jal Kendra,Tilakroad,पर्वती जलकेंद्र. टिळक रोड,
Ward No.41,2718,12724,6516,6208,2757,1388,1369,151,85,66,9146,5218,3928,3578,1298,2280,1557,746,811,Tilakroad,Dandekar Pul,Tilakroad,दांडेकर पूल. टिळक रोड,
Ward No.42,3739,16178,8284,7894,2452,1242,1210,124,69,55,12356,6631,5725,3822,1653,2169,1696,905,791,Tilakroad,Jaydeo Pul,Tilakroad,जयदेव पूल. टिळक रोड,
 Ward No.43,3813,15417,8023,7394,814,392,422,112,69,43,12999,6958,6041,2418,1065,1353,1219,661,558,karveroad,Erandvana,Gaothan,Karveroad,एरंडवणा गांवठाण. कर्वेरोड,
 Ward No.44,2845,11763,5554,6209,453,193,260,24,10,14,10128,4892,5236,1635,662,973,832,405,427,karveroad,S.N,D.T,Karveraod,एस.एन डी.टी. कर्वेरोड,
 Ward No.45,3653,17103,9010,8093,1319,674,645,310,171,139,12217,7138,5079,4886,1872,3014,2078,1053,1025,karveroad,More Vidhyalaya,Karveroad,मोरे विद्यालय. कर्वेरोड,
Ward No.46,3118,12092,6265,5827,689,369,320,11,7,4,10860,5722,5138,1232,543,689,764,391,373,karveroad,Shila Vihar Colony,Karveroad ,शिला विहार कॉलनी.कर्वेरोड,
Ward No.47,4240,16636,8533,8103,311,165,146,54,30,24,13945,7316,6629,2691,1217,1474,1322,669,653,karveroad,Dindayal Upadhya Vidhyalaya,Karveroad,दिनदयाळ उपाध्यय विद्यालय,
 Ward No.48,5561,22195,11209,10986,1181,592,589,198,113,85,17837,9265,8572,4358,1944,2414,2225,1157,1068,karveroad,Navsahyadri Society,Higne,Karveroad,नवसह्याद्री सोसायटी.हिंगणे,
 Ward No.49,5819,26479,13026,13453,855,392,463,156,76,80,21933,11058,10875,4546,1968,2578,2802,1425,1377,karveroad,Higne Stri Shikshan Sastha,Karveroad,हिंगणे स्त्री शिक्षण संस्था.,
 Ward No.50,4553,20189,11026,9163,1025,545,480,253,147,106,14178,8410,5768,6011,2616,3395,2888,1534,1354,karveroad,Higne Gavthan,Karveroad,हिेंगणे गावठांण कर्वेरोड,
Ward No.51,6907,27687,14236,13451,1678,872,806,163,82,81,20560,10838,9722,7127,3398,3729,3325,1793,1532,karveroad,Kothrud Gavthan,Karveroad,कोथरूड-गांवठाण.कर्वेरोड,
Ward No.52,4356,18512,9935,8577,2074,1111,963,125,65,60,14321,8138,6183,4191,1797,2394,2200,1173,1027,karveroad,Gandhi Bhavan,kothrud,Karveroad,गांधी भवन कोथरूड.कर्वेरोड,
 Ward No.53,4424,18068,9418,8650,727,389,338,263,125,138,15284,8188,7096,2784,1230,1554,1721,926,795,karveroad,Thorat Udhyan,Kothrud,Karveroad,थोरात उद्यान. कोथरूड,
Ward No.54,7663,32421,17342,15079,1938,975,963,234,131,103,24039,13793,10246,8382,3549,4833,4092,2128,1964,karveroad,JayBhavani Nagar ,Kothrud,Karveroad,जयभवानी नगर..,
 Ward No.55,5030,20346,10556,9790,1155,596,559,66,37,29,16636,8921,7715,3710,1635,2075,2019,1039,980,karveroad,Gurujan Society ,Karveroad,गरूजन सोसायटी.कर्वेरोड,
 Ward No.56,5642,23993,13007,10986,2660,1404,1256,1247,641,606,16503,9694,6809,7490,3313,4177,3320,1729,1591,Aundh ,Sutarwadi,Pashan,Aundh,सुतारवाडी-पाषाण. औंध,
Ward No.57,4330,18425,9507,8918,2463,1267,1196,262,134,128,13094,7208,5886,5331,2299,3032,2397,1217,1180,Aundh ,N.C.L,Aundh,नॅशनल केमिकल लॅब. औंध,
Ward No.58,2375,9704,5037,4667,561,280,281,251,126,125,8304,4435,3869,1400,602,798,833,415,418,Aundh ,Rajbhavan ,Aundh,राजभवन. औध,
Ward No.59,3669,17531,9128,8403,1252,655,597,317,169,148,12259,6978,5281,5272,2150,3122,2115,1098,1017,Gholeroad,Janwadi ,Gholeroad,जनवाडी.घोलेरोड,
 Ward No.60,2848,12440,6493,5947,1366,703,663,96,58,38,10669,5702,4967,1771,791,980,1053,581,472,Gholeroad,Govt Politecnical,Gholeroad,गर्व्हमेंट पॉलिटेक्‍नीकल.,
Ward No.61,2995,13643,7199,6444,908,465,443,444,228,216,10893,6043,4850,2750,1156,1594,1251,656,595,Gholeroad,Shetki Mahavidhyalaya,Gholeroad,शेतकी महाविद्यालय. घोलेरोड,
